StudyID,Reach #,Reach,RKM,Region,Survival rate per 10km (SE),LCI,UCI,N
DeerCk_Wild_2018,1,DeerCk_RST to Abv_WoodsonBr,441.87 to 425.15,DeerCk,0.5 (0.1),0.32,0.68,13
DeerCk_Wild_2018,2,Abv_WoodsonBr to ButteBr,425.15 to 344.1,Upper Sac R,0.15 (0.1),0.04,0.45,2
