GEN,GenRKM,GenLat,GenLon,Region
UpperButte_RST_Rel,340.85,39.7,-121.75,Butte Creek
UpperButte1,324.1,39.58,-121.8,Butte Creek
UpperButte2,307.16,39.46,-121.87,Butte Creek
UpperButte3,267.21,39.18,-121.9,Butte Creek
