estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Reach,RKM,Region,reach_num
0.659716,0.0236805,0.6118933,0.7044917,Blw_Elkhorn_GS1,TowerBridge,191.92,172,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,Lower Sac R,45
0.6323318,0.024094,0.5839739,0.6781665,TowerBridge,I80-50_Br,172,170.74,"TowerBridge to 
I80-50_Br",172 to 170.74,Lower Sac R,46
0.7667634,0.0211608,0.7227632,0.8056581,I80-50_Br,SacTrawl,170.74,166.815,"I80-50_Br to 
SacTrawl",170.74 to 166.815,Lower Sac R,47
0.44064,0.024788,0.3927705,0.4896393,SacTrawl,Freeport,166.815,152.43,"SacTrawl to 
Freeport",166.815 to 152.43,Lower Sac R,48
0.5476888,0.0248599,0.4986615,0.5958077,Freeport,Hood,152.43,138.22,"Freeport to 
Hood",152.43 to 138.22,Lower Sac R,49
0.0049789,0.0035119,0.0012455,0.0196824,Hood,Old_River_Mouth,138.22,111.24,"Hood to 
Old_River_Mouth",138.22 to 111.24,Lower Sac R,50
0.9397162,0.0141733,0.90517860000000006,0.9621993,Old_River_Mouth,Chipps,111.24,71.47999999999999,"Old_River_Mouth to 
Chipps",111.24 to 71.48,South Delta,51
0.952381,0.0154904,0.9110293,0.9750399,Chipps,Benicia,71.47999999999999,52.14,"Chipps to 
Benicia",71.48 to 52.14,West Delta,52
0.6329114,0.0383464,0.5550836,0.7043756,Benicia,GoldenGateE,52.14,1.71,"Benicia to 
GoldenGateE",52.14 to 1.71,Carquinez Strait,53
1,0,1,1,GoldenGateE,GoldenGateW,1.71,0.8,"GoldenGateE to 
GoldenGateW",1.71 to 0.8,SF Bay,54
